$ python popular_tweets.py
# RT  | # Fav | Tweet text (status)
--------------------------------------------------------------------------------------------------------------------------------------------
12    | 33    | #100DaysOfCode - Day 013: simple #Flask app to compare weather of 2 cities (using OpenWeatherMap #API) https://t.co/XOQVTOUdFn #Python (851896144594583552)
11    | 28    | #100DaysOfCode - Day 061: Plan your next book read using the @twilio SMS API (cc @mattmakai) https://t.co/flWISk9KgM #Python (869293027835101184)
13    | 22    | #100DaysOfCode - Day 066: Use Selenium to login to a site and show content https://t.co/jjkJ2hh36a #Python (871120067802546176)
9     | 20    | #100DaysOfCode - Day 056: #Python #Flask BMI calculator https://t.co/ARbG06bF2a #Python (867481087668125696)
3     | 21    | #100DaysOfCode - Day 038: Simple #Twitter login for your #Flask app using flask_oauthlib https://t.co/iSE1Pcp0hk #Python (860955838151671809)
11    | 13    | #100DaysOfCode - Day 032: #Flask #jQuery movie autocomplete https://t.co/x8ODLnJd8u #Python (858781511641726977)
12    | 10    | #100DaysOfCode - Day 026: Simple script to retrieve #movie data from OMDb #API https://t.co/dRiEnI9XE0 #Python (856607186234908672)
10    | 11    | #100DaysOfCode - Day 006: simple reusable code snippet to print a dict https://t.co/bDTNT2X7wa #Python (849359465384210432)
4     | 15    | #100DaysOfCode - Day 065: Use #Python #webbrowser to simplify #Flask testing https://t.co/sqwnz6ZBBI #Python (870742576877322240)
8     | 9     | #100DaysOfCode - Day 089: #Python #Flask overtime hours tracker. #sqlite https://t.co/PDN389aOoD #Python (879439886343852032)
4     | 13    | #100DaysOfCode - Day 083: #Python #Flask app to print the current time in a given timezone https://t.co/LjD5EpJoPW #Python (877265558630039553)
5     | 11    | #100DaysOfCode - Day 058: Playing with OOP / classes in Python https://t.co/eufNZ5CUVd #Python (868205860517892096)
4     | 12    | #100DaysOfCode - Day 052: Build a user focused REPL with prompt_toolkit (source @amjithr) https://t.co/JsHrgcMnz9 #Python (866031536214204416)
4     | 10    | #100DaysOfCode - Day 087: Currency Conversion script using openexchangerates API https://t.co/JSS6BpEcHB #Python (878715110038003712)
3     | 11    | #100DaysOfCode - Day 062: #Python #Flask friends list with #sqlite db https://t.co/DPPWSevfBL #Python (869655412869447680)
3     | 11    | #100DaysOfCode - Day 060: #Python #Flask Pay Calculator using a session object https://t.co/EW82NyA2Bq #Python (868930635041091584)
3     | 11    | #100DaysOfCode - Day 031: Simple and reusable #Python #script to move all files from one folder to another https://t.co/K6sA5sG9eZ #Python (858419125240045568)
2     | 12    | #100DaysOfCode - Day 001: script to check if tip already submitted to @python_tip https://t.co/SwtTASAcuv (847601344298991617)
4     | 8     | #100DaysOfCode - Day 082: #Python script to list all #timezones and their current time https://t.co/kyjpul0vW2 #Python (876903171662110720)
5     | 7     | #100DaysOfCode - Day 023: use Counter to count the most common words in a file https://t.co/ewUUhffGUi #Python (855520020637523968)
2     | 9     | #100DaysOfCode - Day 063: Coding an account class using properties, dunders and pytest https://t.co/cpYDQBFWEc #Python (870017804107264000)
2     | 9     | #100DaysOfCode - Day 025: Simple test #database generator script #python #sqlite #contextmanager https://t.co/6yKI6eLYFE #Python (856244798985994241)
